Loading SaProt dataset...

==================================================
Training SaProt Multi-Head Model (Seed 1)
==================================================

Seed 1 | Epoch 1/50:  10%|▉         | 1459/14703 [00:03<00:31, 425.89it/s, OGT=7.071, Tm=18.374]
Seed 1 | Epoch 1/50:  10%|█         | 1502/14703 [00:03<00:32, 411.80it/s, OGT=7.071, Tm=18.374]
Seed 1 | Epoch 1/50:  11%|█         | 1544/14703 [00:03<00:31, 411.63it/s, OGT=7.071, Tm=18.374]
Seed 1 | Epoch 1/50:  11%|█         | 1587/14703 [00:03<00:31, 416.84it/s, OGT=7.071, Tm=18.374]
Seed 1 | Epoch 1/50:  11%|█         | 1587/14703 [00:03<00:31, 416.84it/s, OGT=7.340, Tm=18.299]
Seed 1 | Epoch 1/50:  11%|█         | 1631/14703 [00:03<00:30, 422.07it/s, OGT=7.340, Tm=18.299]
Seed 1 | Epoch 1/50:  11%|█▏        | 1675/14703 [00:04<00:30, 426.05it/s, OGT=7.340, Tm=18.299]
Seed 1 | Epoch 1/50:  11%|█▏        | 1675/14703 [00:04<00:30, 426.05it/s, OGT=6.180, Tm=17.008]
Seed 1 | Epoch 1/50:  12%|█▏        | 1718/14703 [00:04<00:30, 426.68it/s, OGT=6.180, Tm=17.008]
Seed 1 | Epoch 1/50:  12%|█▏        | 1764/14703 [00:04<00:29, 436.15it/s, OGT=6.180, Tm=17.008]
Seed 1 | Epoch 1/50:  12%|█▏        | 1764/14703 [00:04<00:29, 436.15it/s, OGT=9.489, Tm=20.145]
Seed 1 | Epoch 1/50:  12%|█▏        | 1809/14703 [00:04<00:29, 437.59it/s, OGT=9.489, Tm=20.145]
Seed 1 | Epoch 1/50:  13%|█▎        | 1854/14703 [00:04<00:29, 440.98it/s, OGT=9.489, Tm=20.145]
Seed 1 | Epoch 1/50:  13%|█▎        | 1899/14703 [00:04<00:28, 443.20it/s, OGT=9.489, Tm=20.145]
Seed 1 | Epoch 1/50:  13%|█▎        | 1899/14703 [00:04<00:28, 443.20it/s, OGT=5.657, Tm=16.182]
Seed 1 | Epoch 1/50:  13%|█▎        | 1944/14703 [00:04<00:28, 441.28it/s, OGT=5.657, Tm=16.182]
Seed 1 | Epoch 1/50:  14%|█▎        | 1990/14703 [00:04<00:28, 444.67it/s, OGT=5.657, Tm=16.182]
Seed 1 | Epoch 1/50:  14%|█▎        | 1990/14703 [00:04<00:28, 444.67it/s, OGT=9.299, Tm=15.234]
Seed 1 | Epoch 1/50:  14%|█▍        | 2035/14703 [00:04<00:29, 426.67it/s, OGT=9.299, Tm=15.234]
Seed 1 | Epoch 1/50:  14%|█▍        | 2078/14703 [00:05<00:30, 411.07it/s, OGT=9.299, Tm=15.234]
Seed 1 | Epoch 1/50:  14%|█▍        | 2078/14703 [00:05<00:30, 411.07it/s, OGT=6.477, Tm=14.429]
Seed 1 | Epoch 1/50:  14%|█▍        | 2120/14703 [00:05<00:30, 408.84it/s, OGT=6.477, Tm=14.429]
Seed 1 | Epoch 1/50:  15%|█▍        | 2162/14703 [00:05<00:30, 408.16it/s, OGT=6.477, Tm=14.429]
Seed 1 | Epoch 1/50:  15%|█▍        | 2162/14703 [00:05<00:30, 408.16it/s, OGT=6.936, Tm=16.449]
Seed 1 | Epoch 1/50:  15%|█▍        | 2205/14703 [00:05<00:30, 414.45it/s, OGT=6.936, Tm=16.449]
Seed 1 | Epoch 1/50:  15%|█▌        | 2247/14703 [00:05<00:30, 413.73it/s, OGT=6.936, Tm=16.449]
Seed 1 | Epoch 1/50:  16%|█▌        | 2291/14703 [00:05<00:29, 419.78it/s, OGT=6.936, Tm=16.449]
Seed 1 | Epoch 1/50:  16%|█▌        | 2291/14703 [00:05<00:29, 419.78it/s, OGT=7.327, Tm=15.869]
Seed 1 | Epoch 1/50:  16%|█▌        | 2335/14703 [00:05<00:29, 424.29it/s, OGT=7.327, Tm=15.869]
Seed 1 | Epoch 1/50:  16%|█▌        | 2378/14703 [00:05<00:29, 424.28it/s, OGT=7.327, Tm=15.869]
Seed 1 | Epoch 1/50:  16%|█▌        | 2378/14703 [00:05<00:29, 424.28it/s, OGT=5.998, Tm=13.496]
Seed 1 | Epoch 1/50:  16%|█▋        | 2421/14703 [00:05<00:28, 423.63it/s, OGT=5.998, Tm=13.496]
Seed 1 | Epoch 1/50:  17%|█▋        | 2464/14703 [00:05<00:28, 425.28it/s, OGT=5.998, Tm=13.496]
Seed 1 | Epoch 1/50:  17%|█▋        | 2464/14703 [00:06<00:28, 425.28it/s, OGT=9.954, Tm=14.645]
Seed 1 | Epoch 1/50:  17%|█▋        | 2510/14703 [00:06<00:28, 433.92it/s, OGT=9.954, Tm=14.645]
Seed 1 | Epoch 1/50:  17%|█▋        | 2554/14703 [00:06<00:28, 424.60it/s, OGT=9.954, Tm=14.645]
Seed 1 | Epoch 1/50:  18%|█▊        | 2597/14703 [00:06<00:29, 411.37it/s, OGT=9.954, Tm=14.645]
Seed 1 | Epoch 1/50:  18%|█▊        | 2597/14703 [00:06<00:29, 411.37it/s, OGT=7.519, Tm=14.603]
Seed 1 | Epoch 1/50:  18%|█▊        | 2639/14703 [00:06<00:29, 412.22it/s, OGT=7.519, Tm=14.603]
Seed 1 | Epoch 1/50:  18%|█▊        | 2681/14703 [00:06<00:29, 413.47it/s, OGT=7.519, Tm=14.603]
Seed 1 | Epoch 1/50:  18%|█▊        | 2681/14703 [00:06<00:29, 413.47it/s, OGT=9.617, Tm=14.400]
Seed 1 | Epoch 1/50:  19%|█▊        | 2723/14703 [00:06<00:29, 409.22it/s, OGT=9.617, Tm=14.400]
Seed 1 | Epoch 1/50:  19%|█▉        | 2765/14703 [00:06<00:29, 410.83it/s, OGT=9.617, Tm=14.400]
Seed 1 | Epoch 1/50:  19%|█▉        | 2765/14703 [00:06<00:29, 410.83it/s, OGT=9.408, Tm=16.425]
Seed 1 | Epoch 1/50:  19%|█▉        | 2808/14703 [00:06<00:28, 413.99it/s, OGT=9.408, Tm=16.425]
Seed 1 | Epoch 1/50:  19%|█▉        | 2850/14703 [00:06<00:28, 410.08it/s, OGT=9.408, Tm=16.425]
Seed 1 | Epoch 1/50:  20%|█▉        | 2892/14703 [00:06<00:29, 404.16it/s, OGT=9.408, Tm=16.425]
Seed 1 | Epoch 1/50:  20%|█▉        | 2892/14703 [00:07<00:29, 404.16it/s, OGT=8.386, Tm=15.469]
Seed 1 | Epoch 1/50:  20%|█▉        | 2935/14703 [00:07<00:28, 410.27it/s, OGT=8.386, Tm=15.469]
Seed 1 | Epoch 1/50:  20%|██        | 2979/14703 [00:07<00:28, 418.12it/s, OGT=8.386, Tm=15.469]
Seed 1 | Epoch 1/50:  20%|██        | 2979/14703 [00:07<00:28, 418.12it/s, OGT=8.469, Tm=16.111]
Seed 1 | Epoch 1/50:  21%|██        | 3021/14703 [00:07<00:28, 416.30it/s, OGT=8.469, Tm=16.111]
Seed 1 | Epoch 1/50:  21%|██        | 3063/14703 [00:07<00:28, 408.24it/s, OGT=8.469, Tm=16.111]
Seed 1 | Epoch 1/50:  21%|██        | 3063/14703 [00:07<00:28, 408.24it/s, OGT=13.447, Tm=17.119]
Seed 1 | Epoch 1/50:  21%|██        | 3104/14703 [00:07<00:28, 407.60it/s, OGT=13.447, Tm=17.119]
Seed 1 | Epoch 1/50:  21%|██▏       | 3148/14703 [00:07<00:27, 415.09it/s, OGT=13.447, Tm=17.119]
Seed 1 | Epoch 1/50:  22%|██▏       | 3190/14703 [00:07<00:27, 413.56it/s, OGT=13.447, Tm=17.119]
Seed 1 | Epoch 1/50:  22%|██▏       | 3190/14703 [00:07<00:27, 413.56it/s, OGT=7.743, Tm=14.171] 
Seed 1 | Epoch 1/50:  22%|██▏       | 3232/14703 [00:07<00:27, 414.57it/s, OGT=7.743, Tm=14.171]
Seed 1 | Epoch 1/50:  22%|██▏       | 3274/14703 [00:07<00:27, 415.22it/s, OGT=7.743, Tm=14.171]
Seed 1 | Epoch 1/50:  22%|██▏       | 3274/14703 [00:07<00:27, 415.22it/s, OGT=8.541, Tm=19.274]
Seed 1 | Epoch 1/50:  23%|██▎       | 3318/14703 [00:08<00:27, 420.91it/s, OGT=8.541, Tm=19.274]
Seed 1 | Epoch 1/50:  23%|██▎       | 3362/14703 [00:08<00:26, 426.45it/s, OGT=8.541, Tm=19.274]
Seed 1 | Epoch 1/50:  23%|██▎       | 3362/14703 [00:08<00:26, 426.45it/s, OGT=7.368, Tm=12.282]
Seed 1 | Epoch 1/50:  23%|██▎       | 3406/14703 [00:08<00:26, 429.89it/s, OGT=7.368, Tm=12.282]
Seed 1 | Epoch 1/50:  23%|██▎       | 3450/14703 [00:08<00:26, 431.88it/s, OGT=7.368, Tm=12.282]
Seed 1 | Epoch 1/50:  24%|██▍       | 3494/14703 [00:08<00:26, 431.02it/s, OGT=7.368, Tm=12.282]
